Date,Open,High,Low,Close,Volume,Change
2013-01-04,22379,22395,22182,22234,6178284,-0.006079570853822047
2013-01-07,22241,22272,22066,22248,5377188,0.0006296662768732197
2013-01-08,22125,22213,21994,22012,4744474,-0.010607695073714507
2013-01-09,22039,22133,21903,21928,5908851,-0.003816100308922432
2013-01-10,21949,22163,21866,22124,6323150,0.008938343670193305
2013-01-11,22258,22276,21821,22000,8409183,-0.005604773097089177
2013-01-14,21962,22120,21868,22112,6286523,0.005090909090909035
2013-01-15,22079,22241,21863,21882,4257545,-0.010401591895803142
2013-01-16,21939,21994,21665,21728,6154735,-0.00703774792066536
2013-01-17,21821,21854,21610,21760,6273840,0.0014727540500736325
2013-01-18,21917,21949,21708,21848,6435730,0.00404411764705892
2013-01-21,21841,21939,21661,21843,10585203,-0.00022885389967042258
2013-01-22,21841,21977,21782,21953,5418681,0.005035938286865438
2013-01-23,21970,22075,21766,21776,5235258,-0.008062679360451908
2013-01-24,21751,21792,21553,21582,10819710,-0.008908890521675206
2013-01-25,21607,21623,21280,21344,13274335,-0.01102770827541466
2013-01-28,21317,21360,21217,21313,13624007,-0.0014523988005996635
2013-01-29,21346,21512,21317,21490,5867862,0.008304790503448567
2013-01-30,21528,21646,21415,21589,6579047,0.004606793857608205
2013-01-31,21500,21553,21445,21548,4948337,-0.0018991152901940422
2013-02-01,21543,21646,21317,21504,8924995,-0.002041952849452411
2013-02-04,21595,21623,21436,21452,9444191,-0.002418154761904767
2013-02-05,21317,21337,21159,21269,11708372,-0.008530673130710431
2013-02-06,21325,21333,21226,21247,8479211,-0.0010343692698293605
2013-02-07,21256,21372,21180,21242,6957097,-0.00023532734033038238
2013-02-08,21193,21522,21166,21466,5292003,0.01054514640805948
2013-02-12,21494,21538,21410,21429,5853701,-0.0017236560141619117
2013-02-13,21515,21846,21497,21857,6427441,0.01997293387465593
2013-02-14,21846,21977,21792,21928,8656993,0.0032483872443611617
2013-02-15,21913,21930,21829,21882,4405651,-0.002097774534841279
2013-02-18,21833,21930,21751,21873,4730779,-0.0004112969564025182
2013-02-19,21872,21990,21833,21936,5191272,0.002880263338362443
2013-02-20,22009,22404,21994,22409,8836241,0.021562727935813264
2013-02-21,22308,22367,22254,22302,13697467,-0.004774867240840752
2013-02-22,22225,22469,22208,22336,6867361,0.0015245269482557777
2013-02-25,22333,22399,22228,22253,4222341,-0.003715974212034401
2013-02-26,22103,22203,22032,22151,5661290,-0.004583651642475206
2013-02-27,22177,22232,22083,22172,5019874,0.0009480384632747363
2013-02-28,22296,22479,22287,22390,9210713,0.009832220819051107
2013-03-04,22352,22414,22159,22197,8138426,-0.008619919606967397
2013-03-05,22272,22460,22249,22264,5282722,0.0030184259134116154
2013-03-06,22436,22489,22218,22253,8348211,-0.000494071146245112
2013-03-07,22225,22272,22035,22076,7852977,-0.007953983732530423
2013-03-08,22066,22133,21970,22065,9772155,-0.0004982786736728029
2013-03-11,22023,22112,21821,22037,8950752,-0.0012689780194878875
2013-03-12,22099,22115,21836,21848,7011332,-0.008576485002495748
2013-03-13,21841,21966,21808,21932,10083214,0.0038447455144636766
2013-03-14,21908,21986,21661,22004,13351374,0.003282874338865538
2013-03-15,22035,22066,21728,21781,12418921,-0.010134520996182506
2013-03-18,21646,21723,21519,21593,16052626,-0.00863137596988206
2013-03-19,21651,21803,21610,21672,9341721,0.003658593062566551
2013-03-20,21595,21636,21445,21481,8621848,-0.00881321520856404
2013-03-21,21553,21570,21317,21340,16109175,-0.006563940226246401
2013-03-22,21329,21364,21264,21296,16922754,-0.0020618556701030855
2013-03-25,21471,21728,21457,21659,9172637,0.017045454545454586
2013-03-26,21665,21792,21610,21713,7038400,0.0024931898979638767
2013-03-27,21818,21913,21553,21866,6742289,0.007046469856767823
2013-03-28,21854,21903,21782,21891,4132017,0.0011433275404737486
2013-03-29,21957,22108,21957,21980,7110232,0.004065597734228765
2013-04-01,21994,22002,21882,21917,1899316,-0.0028662420382166154
2013-04-02,21879,21930,21565,21730,5273789,-0.008532189624492426
2013-04-03,21795,21795,21550,21680,5495336,-0.0023009664058905033
2013-04-04,21520,21533,21260,21402,15629562,-0.012822878228782253
2013-04-05,21269,21333,20998,21067,25589063,-0.015652742734323932
2013-04-08,21126,21203,21028,21083,15105561,0.0007594816537712656
2013-04-09,21071,21272,20898,21062,9066679,-0.0009960631788644703
2013-04-10,21177,21296,21061,21197,9678323,0.006409647706770549
2013-04-11,21301,21372,21101,21387,5624394,0.00896353257536453
2013-04-12,21376,21405,20928,20974,7671327,-0.01931079627811283
2013-04-15,20901,21094,20813,21021,17676262,0.002240869648135746
2013-04-16,20788,21085,20676,20965,11100254,-0.002664002664002685
2013-04-17,21028,21098,20779,20965,10532107,0.0
2013-04-18,20806,20919,20671,20686,8635013,-0.013307894109229723
2013-04-19,20663,20816,20558,20757,9416226,0.0034322730349027886
2013-04-22,20729,20967,20644,20935,5311691,0.00857542034012626
2013-04-23,20914,20928,20700,20881,7299890,-0.0025794124671602026
2013-04-24,20963,21081,20844,21041,8525087,0.0076624682725923154
2013-04-25,21049,21163,21009,21160,8153168,0.005655624732664899
2013-04-26,21135,21172,21066,21128,6640807,-0.0015122873345935206
2013-04-29,21115,21124,20952,21066,6509395,-0.0029344945096554387
2013-04-30,21164,21383,21106,21337,9156236,0.012864331149719854
2013-05-02,21248,21314,21181,21219,7960301,-0.005530299479776901
2013-05-03,21331,21354,21164,21315,4673424,0.004524247136999948
2013-05-06,21422,21550,21223,21239,5414384,-0.0035655641566971763
2013-05-07,21258,21270,21124,21198,4493017,-0.001930411036301094
2013-05-08,21227,21298,21106,21180,4877741,-0.0008491367110105008
2013-05-09,21195,21515,21195,21480,8300079,0.014164305949008416
2013-05-10,21445,21445,21020,21045,15604396,-0.02025139664804465
2013-05-13,21009,21097,20891,21112,12486495,0.0031836540746019715
2013-05-14,21097,21413,21097,21364,5910317,0.011936339522546469
2013-05-15,21379,21387,21253,21368,6977815,0.00018723085564498199
2013-05-16,21383,21669,21383,21553,6952643,0.008657806065144102
2013-05-20,21565,21618,21500,21553,8902333,0.0
2013-05-21,21623,21732,21500,21542,3378276,-0.0005103697861086331
2013-05-22,21610,21752,21590,21672,4067640,0.006034722866957498
2013-05-23,21542,21599,21366,21380,7913636,-0.013473606496862356
2013-05-24,21445,21489,21270,21413,9421637,0.0015434985968194592
2013-05-27,21374,21578,21354,21512,4797246,0.00462335964133942
2013-05-28,21532,21646,21445,21592,8681358,0.0037188545927853145
2013-05-29,21641,21834,21607,21757,4946950,0.007641719155242699
2013-05-30,21718,21848,21713,21772,10355609,0.0006894332858391472
2013-05-31,21810,21924,21779,21791,6370193,0.0008726805070733423
2013-06-03,21709,21776,21666,21713,6089883,-0.0035794594098480514
2013-06-04,21801,21801,21542,21680,6889946,-0.0015198268318519226
